# TF	Target	Type	Reference
PPARA	ACADL	Unknown	20110263
PPARA	ACOX1	Unknown	20110263
PPARA	ACSL1	Repression	17150915
PPARA	ANGPTL4	Activation	12099716;15190076
PPARA	APOA4	Unknown	19433068
PPARA	APOA5	Unknown	16448983
PPARA	APOB	Activation	11925428
PPARA	APOB	Repression	16542871
PPARA	APOBR	Repression	12700342
PPARA	APOC3	Repression	10494028
PPARA	APOC3	Unknown	11007963
PPARA	CD36	Unknown	16713233;20110263
PPARA	CETP	Activation	18481130
PPARA	CGB5	Unknown	11564716
PPARA	CPT1A	Repression	17150915
PPARA	CYP1A1	Activation	15521013
PPARA	CYP2C9	Repression	20178979
PPARA	FABP4	Unknown	19717768
PPARA	G0S2	Unknown	20110263
PPARA	HMOX1	Unknown	17413033
PPARA	IGFBP1	Unknown	20110263
PPARA	IL6	Unknown	15001458
PPARA	IL6R	Repression	14764586
PPARA	LPL	Activation	10634806
PPARA	MLYCD	Unknown	16434556
PPARA	MMP9	Repression	21840940
PPARA	NFKBIA	Activation	14976045
PPARA	NFKBIA	Unknown	11981037
PPARA	PDK4	Activation	15955060
PPARA	PLIN2	Repression	17150915
PPARA	PTGS2	Activation	11412039
PPARA	SERPINE1	Activation	15631825
PPARA	SERPINE1	Unknown	12667383
PPARA	SLC25A20	Unknown	19748481
PPARA	SLC9A1	Unknown	19958503
PPARA	SOD2	Unknown	19958503
PPARA	SREBF2	Repression	16946405
PPARA	STAT5A	Unknown	21542777
PPARA	SULT2A1	Unknown	20110263
PPARA	TUBA1B	Unknown	23029400
PPARA	TXNIP	Repression	18848838
PPARA	UCP1	Repression	11875072
PPARA	UGT1A9	Activation	12582161
